jpt_kod_je;ludnosc
0201;90103
0202;100813
0203;89102
0204;34870
0205;50116
0206;63591
0207;43239
0208;157996
0209;55166
0210;54254
0211;106150
0212;45925
0213;36999
0214;107269
0215;76752
0216;63065
0217;43570
0218;55079
0219;156921
0220;85253
0221;55611
0222;46818
0223;151385
0224;64802
0225;89188
0226;43490
0261;79061
0262;99350
0264;642869
0265;111356
0401;55066
0402;79097
0403;118683
0404;51925
0405;45018
0406;40238
0407;159814
0408;65750
0409;45619
0410;86311
0411;40321
0412;43486
0413;41056
0414;98952
0415;108345
0416;48383
0417;34194
0418;86037
0419;70190
0461;348190
0462;94368
0463;201447
0464;109883
0601;110772
0602;100919
0603;78014
0604;62847
0605;45709
0606;63258
0607;95348
0608;88352
0609;155566
0610;57331
0611;106816
0612;59208
0613;34711
0614;113173
0615;58858
0616;55988
0617;71840
0618;82762
0619;38353
0620;106122
0661;57170
0662;61932
0663;339784
0664;63437
0801;71836
0802;54829
0803;57565
0804;86156
0805;46929
0806;49009
0807;35193
0808;55790
0809;75559
0810;78953
0811;96111
0812;38831
0861;123609
0862;141222
1001;112779
1002;96569
1003;49918
1004;49747
1005;78099
1006;72179
1007;76106
1008;119291
1009;51220
1010;91353
1011;41108
1012;112644
1013;48592
1014;117674
1015;38174
1016;116519
1017;76256
1018;42105
1019;66380
1020;166113
1021;30833
1061;679941
1062;73090
1063;48089
1201;106858
1202;93201
1203;124536
1204;59174
1205;108886
1206;279239
1207;131764
1208;48818
1209;127600
1210;216796
1211;191782
1212;111217
1213;153486
1214;43222
1215;84232
1216;201497
1217;68072
1218;166
1219;129136
1261;779115
1262;83794
1263;108470
1401;33410
1402;89423
1403;108981
1404;44899
1405;95963
1406;98311
1407;59997
1408;118585
1409;33874
1410;30774
1411;44892
1412;154526
1413;72626
1414;79378
1415;88654
1416;72328
1417;124352
1418;188281
1419;110952
1420;87054
1421;165912
1422;52511
1423;41455
1424;51824
1425;152291
1426;81362
1427;51954
1428;85045
1429;53804
1430;39672
1432;118613
1433;65822
1434;249299
1435;74220
1436;36166
1437;38515
1438;75749
1461;52055
1462;119425
1463;211371
1464;78185
1465;1790658
1601;89804
1602;45552
1603;93880
1604;65470
1605;63747
1606;42634
1607;135948
1608;64293
1609;123726
1610;55237
1611;74300
1661;128035
1801;21664
1802;65567
1803;135299
1804;120247
1805;113450
1806;62246
1807;112283
1808;69370
1809;55217
1810;81049
1811;136660
1812;66589
1813;74061
1814;78362
1815;74515
1816;169438
1817;94385
1818;106037
1819;61386
1820;52965
1821;26441
1861;46291
1862;60689
1863;196208
1864;46745
2001;58068
2002;149611
2003;54353
2004;47210
2005;42610
2006;38057
2007;50943
2008;40412
2009;19914
2010;44193
2011;66686
2012;35674
2013;56860
2014;43505
2061;297554
2062;62945
2063;69758
2201;79198
2202;97645
2203;56085
2204;118489
2205;139397
2206;72688
2207;83174
2208;66115
2209;63470
2210;35580
2211;86684
2212;98686
2213;128186
2214;115728
2215;217846
2216;41302
2261;470907
2262;246348
2263;90681
2264;35719
2401;148089
2402;165960
2403;178191
2404;134555
2405;115528
2406;84591
2407;76451
2408;98990
2409;70880
2410;111539
2411;108211
2412;78213
2413;140519
2414;59776
2415;157088
2416;117624
2417;152756
2461;170663
2462;165263
2463;107807
2464;220433
2465;119373
2466;178603
2467;88743
2468;91115
2469;292774
2470;74618
2471;55030
2472;137360
2473;138098
2474;66841
2475;199974
2476;49557
2477;127590
2478;172360
2479;62472
2601;71596
2602;85379
2603;33619
2604;211259
2605;79858
2606;52089
2607;108964
2608;38926
2609;77017
2610;73991
2611;89576
2612;71776
2613;45059
2661;194852
2801;57231
2802;41034
2803;65139
2804;57211
2805;91560
2806;56565
2807;92879
2808;62283
2809;41180
2810;49762
2811;32857
2812;43822
2813;34148
2814;126781
2815;104151
2816;56135
2817;69376
2818;26689
2819;22638
2861;119317
2862;171979
3001;47055
3002;86990
3003;145418
3004;75908
3005;51893
3006;71563
3007;83026
3008;56451
3009;86727
3010;130053
3011;79183
3012;77274
3013;57201
3014;36751
3015;75543
3016;59825
3017;161581
3018;55500
3019;136112
3020;63014
3021;399272
3022;60262
3023;59077
3024;91664
3025;58879
3026;61425
3027;83894
3028;70233
3029;57446
3030;77994
3031;69433
3061;100246
3062;73522
3063;63505
3064;534813
3201;47560
3202;48243
3203;57015
3204;82421
3205;60277
3206;81882
3207;46999
3208;79438
3209;66480
3210;65638
3211;80652
3212;39336
3213;56134
3214;120186
3215;77630
3216;46724
3217;53039
3218;36696
3261;107048
3262;401907
3263;40888
